Rating,Title,Comment
1,The worst cabin crew ever met,"Hello.<br />I travel each week because of my job. Many flights a year. This time, I took with wife that plane for holidays. Means we were cool and stress less.<br />Just one thing about this company : that is the worst cabin crew I have ever met (and I travel a lot with Ryanair ;))<br />They wake you up for nothing, check your boarding pass on the middle of the flight (...) don&#8217;t speak kindly to you but very badly, etc.<br />Will choose Malindo airlines next time ! Never again with them."
1,The worst airline for sure,The worst airline for sure. With lowest costumer service and rudest stuffs. I strongly recommend ignore this airline.
1,Heights of delaying,"Hi<br />I&#39;m karishma patel. I ama fashion designer. I am first time travelling in airasia flight, which is kept delaying since Morning 8:55am to 12:55 . Also if they have some technical issues in flight, they can&#39;t not &#10060; serve you anything to drink and eat which is making travelers more freak.also after asking them many times these people kept saying ma&#39;am we don&#39;t know howong is it going to take and we can&#39;t provide you beverages if we do to you, other people will also expect the same. I don&#39;t know how it was stuff task to provide someone food  in such emergency when you kept us waiting 5hours.I personally would never advice any body to book this company again. Where a client is not treated with such professionally and in Unrespectful. Please never think of booking airasia. Also I want my money to be refunded."
3,i like flying with them and the prices&#8230;,i like flying with them and the prices are great. but the website and mobile app are totally bugged out. this is going on for years now. very sad to see that there is no improvement. time to exchange your cto or product manager and get a proper development team guys
1,Airasia is just lie,Airasia is just lie they advertise trip to Lombok <br />Example $150.00 AUD yet when you to book <br />Is over $1000.00 AUD  I can go to Europe for that <br />Plus airasia took the route Australia to Lombok <br />For some amount of subsidy from the Lombok government to bring more tourist.because the local businesses and residents are struggling <br />But what airasia is doing? Nothing  <br />They try to compare them self to Jetstar <br />When Jetstar was on Perth Lombok route <br />It was great for local business the residents and the travelers <br />On top of that try to call customer service no one pick up the phone <br />I was looking going to Lombok they advertise $130 when you to book is $555.44 one way <br />Lies Lies
1,Extremely worst flight that I have ever&#8230;,Extremely worst flight that I have ever  booked ticket on airline.
1,Cheap but you have to be patient,Horrible. Still waiting for my refund. Ava is poor feature. Website payment system doesn&#39;t work properly.
1,Absolutely untrustworthy,Absolutely untrustworthy<br />This company should be avoided!<br />Since July 2018 we are waiting for refund number WQE73D and GP132T. I assume that all positive references are bought from the PR department. A shame for the CEO and the headquarters in Malaysia. It&#39;s a shame for Malaysia to host this pirate gang.
1,Customer service staff in Manila makes&#8230;,Customer service staff in Manila makes up their own rules. Surprisingly customer service lied to me about rules of hand luggage and blamed Manila Airport rules but when I ask security they told me it is the airline who makes that up to charge customers extra. Cheap for sure and the ground staff shows the same. Cheap untrained staff who cashes up customers.<br />Shame on you air Asia Philippines. <br /><br />Disgusted by your customer service
2,Passenger unfriendly airline,"Flights are punctual, and aircraft are clean. Fares are often a bit lower than other airlines. However, I&#39;m still an unhappy traveller on AirAsia. They have a very unfriendly policy towards seat assignment at the counter - they do not accommodate any preferences even if seats are available, UNLESS YOU PAY. They also harass passengers about baggage weight. After a thorough check at the checkin, they ask passengers to weigh luggage again near the gate! They&#39;re looking for every opportunity to squeeze more money out of passengers! Awful attitude."
1,Consistently awful. Every single time.,"Simply the worst airline in the world, many years running. I&#8217;ve been unfortunate enough to have to rely on this sorry excuse for an airline for years and not once, NOT ONCE, have I ever had a good experience. Not a single flight that went smoothly, with no delay or some other nonsense. Awful service, always late, anything to take your money and always unpleasant. The only thing they haven&#8217;t charged us for yet is oxygen on board, which at some point it will probably be charged also, 10cents per breath. If only there were other options for certain destinations... Today&#8217;s misfortune: retiming of flight the day before, only to come to airport, go to gate as indicated and find out there (i.e. at the gate) that there would be another delay on top of a change in gates. Still waiting to board, holiday ruined. Avoid this airline if you can. Pay more, get better service somewhere else."
5,Flown with them loads,"Flown with them loads. Great airline, always on time. Very happy!"
2,Just so so,Our flight was delayed but the pilot no the attendants wont even announce the reason. We waited for almost an hour before we took off.
1,This is the worst airline I&#39;ve ever&#8230;,This is the worst airline I&#39;ve ever used. Im supposed to leave from Iloilo to manila where I have a connecting flight going to Europe. I&#39;ve now waited more than 3 hours and I dont think i can make my connecting flight from Manila. I expected some delay as I&#39;m in the Philippines and people apparently don&#39;t know what time is here. I&#39;ve never experienced this kind of service from a European airline.
1,7kg carry on &quot;to speed up boarding&quot;. Total BS and the opposite happens,"Firstly, 7kg carry on limit makes no sense. I absolutely understand the need to have smaller bags on board and I&#39;m happy with that. However, 7kg limit is terrible. With my camera and commuter stuff that&#39;s already nearly 7kg. It doesn&#39;t make sense that I can&#39;t take more. I&#39;ve flown all around the world and it&#39;s my first time seeing this. it&#39;s a terrible system. <br /><br />What&#39;s worse is that the company makes airport personnel charge people absolutely ridiculous fees to check in bag. I had a total of 14kg with two small bags. The staff made me check in my bag and charged me nearly 90USD &quot;for 0-15kg over weight&quot;. I understand things happen, even that you have a 7kg terrible policy, but making customers pay exuberant fees for things like this is a terrible experience. <br /><br />To top it all off, the staff lost my bags&#39; special cover during transit and took no responsibility for it. They said &quot;yea, that&#39;s not covered by us...&quot; I will not fly AirAsia for these reasons. I am happy to tell all my friends and fans to boycott the company. A business simply can&#39;t run like this."
1,I was overcharged and have tried to&#8230;,"I was overcharged and have tried to raise a complaint thru their website but to no avail. Their customers service is so bad it is unbelievable. They are totally unhelpful and keep closing the case before it is resolved. I have had to open 7 separate cases and they still will not address the issue, they just send an unhelpful generic email and close the case.<br />They do not even try to help you....<br />Does anybody know how to elevate a complaint or know of any other way of making a complaint other than thru their website. The website complaint section is a complete waste of time"
1,Request refund due to flight&#8230;,"Request refund due to flight reschedule. Air asia processed for a month and then told us that the case is submitted to the bank. But when I call bank, bank said did not receive the money. Meanwhile, the case status at airasia said as &quot;closed&quot;."
1,Short version,"Short version: AirAsia rebooked our flights giving us 55 minutes to make an international connection in Kuala Lumpur. We tried several times to change this, but mind bogglingly, were told that 55 minutes was enough time to make an international connection. We were told the only other option was to rebook at our own expense. This was approximately US$600 per person to move a short domestic flight by a few hours. Since they wouldn&#8217;t move us, we bought a standalone ticket to Kuala Lumpur at a fraction of the price, but were then told we couldn&#8217;t use it otherwise they would cancel our connecting international flight. Even though we had bought a new ticket and had seats saved on the earlier flight, apparently they STILL couldn&#8217;t do anything. To top it off, they would only refund the airport taxes/fees for these tickets. Surprisingly, 55 minutes is NOT enough time to reasonably make an international connection&#8230;who would have guessed? My wife (who has arthritis in her knees) and I ended up running the entire way (about 1.5km), and made the flight by about one minute. She is still having trouble with her knees because of this weeks later. AirAsia is absolutely awful, and I would strongly discourage anyone from flying with them.<br />The AirAsia flight rebooking policy is an absolute travesty, and borderline dangerous. We initially booked an international flight with a 1 hour 35 minute layover/connection in Kuala Lumpur. AirAsia changed this flight so we only had 55 minutes to make an international connection...obviously not enough time. When we first tried to change this flight (in person) the customer service rep said she would do so, and we would get confirmation via email in a day or two. Instead, we got confirmation of the same flights, with no further explanation. I then contacted AirAsia via their online chat (which is horrible) and was told that it was against their policy to change the flights if the change in flight time is less than 45 minutes. They conveniently moved the flight by 40 minutes, just shy of the rebooking mark, so they wouldn&#8217;t rebook us. They also told us we shouldn&#8217;t worry about it, 55 minutes was plenty of time to make an international connection. We were told if we wanted to change the short domestic flight, we&#8217;d have to go through the booking change process and pay the normal fee, which ended up being about US$600 per person&#8230;to change a 1hr domestic flight to one a few hours earlier.<br />The next flight out if we missed our connection was 24 hours later, meaning we&#8217;d miss our day in Australia, lose our hotel booking, probably go without bags, and quite possibly miss or next connecting international flight as well. Rather than risk all this (which AirAsia seemed to think was acceptable, just as long as they didn&#8217;t have to move our flight a few hours) I decided to book earlier standalone domestic tickets to Kuala Lumpur instead. Lo and behold, when we get to the airport to check in, we are told that we can&#8217;t use the new tickets to Kuala Lumpur, otherwise they will cancel our entire international trip as &#8220;no shows&#8221;. The counter staff agreed that 55 minutes wasn&#8217;t enough time, but apparently, they were forbidden from changing the flights as well. This is despite us already having space on the earlier flight due to the new tickets we bought. To add insult to injury, they wouldn&#8217;t refund us for the new tickets, except for the airport tax portion. And on top of that, after sitting around at the airport for many hours waiting for our flight, the check in person chastises us for booking a flight with such a tight connection! Absolutely unbelievable.<br />So we ended up sticking with the original tickets, rather than have AirAsia cancel our entire flight. Luckily, our domestic flight was on time, as we ended up running the entire 1.5km between the terminals, only to hear last call for our flight when we were still several gates away. We ended up making our international flight by about 1 minute. My wife has arthritis in her knees, and weeks later, she is still having constant problems due to running top speed through the airport with our luggage. Depending on what the doctor has to say about my wife&#8217;s knees, we may be back in touch regarding any legal liability. If anything whatsoever would have gone wrong at security, immigration, disembarking, or anything else, we would have missed the flight. All of this, and risking tons of issues if we missed our international flight, for&#8230;not entirely sure what rationale they have, really.<br />Actual people, who can actually do anything, are basically impossible to get ahold of as well. AirAsia is absolutely awful, and I will be strongly discouraging anyone from flying with them. Thanks very much, AirAsia."
1,Worse experienced with Air Asia shore staffs,"My flight delayed and I approached service counter at Macau. They issue meal coupon but I declined. I requested to go back home to wait and return before 19:40pm at the boarding gate. <br />The lady informing me my connecting flight is KL -Pen at 5:25. Then without informing they need to re-issue my ticket.<br />I boarding by my old ticket as usual. Then arrive transit immigration and scan my hand carry. And I reach J12 gate. The Malay gentleman ask me to go to Service Counter next to T16 which I actually not sure where is it. <br />Then I walk till the shop of Victoria Secret and met a tall skinny AK staff, Malay guy. I explained my matter. He ask me to go out from international exit and go 1 floor up to Service Counter next to T16. I told him I cannot out as my flight is connecting. My baggage will direct to Penang. He still insist. <br />I arrived Service Counter next to T16. The Malay guy ask me go back to pick up my luggage otherwise he will not issue me a new ticket. <br />Then I go back and meet the police woman Haxxxx and another Chinese AK staff with glasses. They not allow me to go in to pick up my luggage as he said mine is connecting flight. He insisted I m check out from international flight by immigration so that I m now outside domestic hall. Which I m really confused. He told me my luggage for sure will not be there. Cause my flight is connecting flight.  They ask me back again to Service Counter next to T16. <br />Again I go to Service Counter next to T16. <br />Imagine my flight is a day before morning 10:45, and I reached airport at 0800. And arrived KL next day morning 4:00, and thought finally I can catch 5:25 flight. But I m stuck here until 8:25. <br />1. The gentleman at J12 gate shouldn&#8217;t direct me to service counter next to T16. I only get to know from the Chinese AK staff should re-issue at transfer counter.<br />2. Passenger who had bad experienced flight delayed never ask for any compensation but been leading and turning up side down from AK staffs. <br />3. I buying hot seat but re-issue with normal seat. <br />This is a disaster experience ever I had with Air Asia. <br /><br />Really bad!"
5,We had the worst experience with&#8230;AirAsia.,We had the worst experience with AirAsia. We arrived at the boarding gate just 5 mins late and we were denied boarding. We were carrying kids as well and the boarding gate was so far away as well. The front gate spent the whole time arguing with us and were very rude. The plane was still boarding luggage&#8217;s while we stood arguing with them. With other flights they make a call and assist passengers with children. Other flights were also waiting for passengers who were late but they stood arguing for 5 mins. The staff is very rude and do not co-operate.
1,Cancelled at short notice flight,"Cancelled at short notice flight, employing robots in the customer service without a sense of customer focused problem solving."
1,Terrible check in staff.,"The flight and airline were fine but the baggage drop/check in was a nightmare.  The young girl at the desk argued with me for 10 minutes about if I needed a visa to go to Vietnam (I didn&#39;t as it&#39;s visa on arrival).  I told her I was late and she still insisted on delaying me so I almost missed the flight. <br /><br />This wasn&#39;t an isolated incident as on the return flight from Ho Chi Min another young girl refused to give me my boarding pass as I &#39;didn&#39;t meet the visa requirements&#39; to go to Bangkok in Thailand.  She held the boarding pass under the desk and told me to come back in half an hour.  She eventually only handed it to me I produced my forward flight.<br /><br />As an experienced traveler this was certainly the worst experience I have had with any airline.  In recent years the check in girls and boys have been encouraged to do the &#39;donkey&#39; work of immigration and they are very unsuited to the task being often very unsure of what they&#39;re doing.  Generally very poor from Air Asia.  I will avoid flying with them again.<br /><br />As a note, the actually immigration staff... no problem, through in 2-5 minutes.  Later flew with Lufthansa and Egypt Air, both great, friendly staff, highly recommended.  Air Asia, no."
1,Would give 0 stars if I could....,"Would give 0 stars if I could....<br /><br />Booked my 50 minute flight to catch two connecting flights from Ilo Ilo to Manila and then to London<br /><br />My 50 minute flight was delayed by 1hr. No problem I thought, that&#39;s still two hours to catch my first correcting flight...<br /><br />But no, 1 hour turned into 3 hours and thus I missed both connecting flights. The best they could offer was a refund on the delayed flight., meaning I had to book two other flights from scratch costing over £400 plus hotel and food for the night and taxi to and from the airport<br /><br />Will never use Air Asia again. Very unhelpful and not willing to compensate when they should. No wonder this finish has such bad reviews, I will never use again"
3,Asia&#39;s biggest budget airlines website in continously updated with new traps to make you pay for things you never wanted.,"Asia&#39;s biggest budget airline with affiliates in several countries. You either love them or hate them. If you come with low expectations it works just fine. Routes with low frequency are prone for cancellations and sometimes their cancellations and subsequent refunds can make your blood boil. But having flown around 100 flights with them I can say it works, They are doing good in ads to hypnoses those in believing they are always the cheapest.<br /><br />Their website is continuously updated with traps that makes you pay for add on&#39;s you never wanted in the first place so you need to be very increasingly alert to catch up on these. Check the final price before paying (yes including processing fees) if it is still worth it."
1,The Worst staff,The Worst and most unsupportive airline. They charged me 1000 baht for 12.5 kgs of one bag that too when me and my husband were allowed 14 kgs.
1,"Dishonest, Very bad budget Airline in the world!","QZ269 -20 June 2019<br />my flight to Jakarta was delayed 2 times! AirAsia sent me and email saying that i have an option to get a refund. And when I follow the steps as stated in the email to request for refund from their website, there&#39;s no refund option! you see, when u send out emails telling your customers there&#39;s refund option, make sure you are willing to refund your customers without letting them wait soooooo long! There&#39;s only a few countries numbers that I can call which none is from my country singapore. There&#39;s no email address. There&#39;s only a livebot, which is useless as it only has standard answers. I wrote a complain and they only say they will send to relevant department to handle. DO they even have people working back end in the first place? I will never take airasia ever again! They are making themselves look like a low budget that cheats money airline! Hope this airline wont last long!"
1,The worst airline ever,"The worst airline ever. My flight to osaka is a disaster. First of all, my BOUGHT seat is randomly assign after i CHECKED IN. My party is scattered to different place. What is the use of value pack and the BOUGHT SEAT when you are still randomly assign when you have PAID FOR IT? S**t value pack with s**t meal. And when i return? My BOUGHT SEAT is also randomly ASSIGN after i checked in. Secondly, we are a party of 7+1 kid and has 7 luggage to checked in. 5 Adult has checked in first with all their luggage and has taken their boarding pass. While me and my kid is last to check in(of course is still within 2 hour before departure time), i got 3 luggage label. When boarding, my other party realised that they were not given any luggage label/sticker. We have asked the staff in the boarding gate, the staff checked from their PC with the status of 7 luggage total and combine into my label(they said). When in KL, i ask the transit counter staff to checked again if the luggage is 7. The staff in KL said yes, total 7 luggage. So, i assume we are safe. When i arrive in osaka late night which arrive 30 min earlier(which is useless due to a long drive to the terminal which made up the same as original ETA schedule). Everybody has taken their luggage and mine is missing one. All the airport staff has gone panic and try to find it. I got my luggage 3 days later. Thanks to air asia, i have no cloth for 3 days and i need to call yamato delivery for delivery due to uncertain delivery times(which cost me roaming charges too). And usually i did not buy any travel insurance, luckily i bought it this time. And to claim for my inconvenience? It is harder than winning a lottery. They don&#39;t even bother to apologize at all. thanks to the Osaka airport staff which is always helpful and very attentive."
1,Checked in baggage damaged,"Checked in baggage damaged whilst in the hold - a coloured oil got into my suitcase through the zip whilst checked in on the plane and damaged clothes and my suitcase - all of which have had to go in the bin. I am concerned about where this oil has come from, but Air Asia seem to have no worries at all and are expressing a disregard to passengers belongings in their care.<br />I have put through 3 requests to Air Asia about this, every single one has been closed whilst asking me to it through again! I have been told that I should have told Air Asia when I collected my suitacse from the baggage reclaim belt...but as the damage is internal I&#39;m struggling to see how I would have known to look - I would understand if my case was dented/scratched/missing a wheel but this is entirely different.<br />I am extremely disappointed, fly with another airline."
1,Worst airline experience ever!!,"Worst airline experience ever!!! Some of the staff very rude! No understandings for tall people! Wanted to sit on this red seat, that have more space for the legs but the staff became very rude and told me rudly that i cannot sit there and that i need to move right away. All read seats were empty btw. And then during the flight the staff went and seat there! HAHAHAHA But lets go back at beggining when we booked this trip. We went on their official site and book tickets to Cambodia. Nowhere during the booking was mentioned that we need to prebook our baggage and our meals so we thought everything is included like in every other NORMAL AIRLINE!!! We went on the airport and then we got a ,,PLEASENT&quot; suprise that we need to pay 80 dollars per bag?!?!?!?! And this was not mentioned during the booking! Ofc we have to do this because we didnt have a choise. Then on the board one more ,,PLEASENT&quot; suprise... We had to pay for our meals also. Its not expencive but again it wasn&#39;t nice feeling at all. Then on the way back same terrible service but this time they managed to break our both bags! ON PURPOSE! We had a locks on our bags and this ,,FINE GENTLEMANS&quot; BREAK??????? the lock so they can open the bags. WORST EXPERIENCE EVER AND STAY AWAY FROM AIR ASIA! BETTER TO PAY 100-200$ MORE FOR OTHER AIRLINES THEN TO EXPERIENCE THIS. THANK YOU AND I HOPE A LOT OF PEOPLE WILL READ THIS! o/ And one more thing. I do hope this airline will stop to exist!"
1,Very bad customer service,"Very bad customer service, no assistance. Avoid this scammer company or just take it when the prices are extra cheap. Disappointing and disgusting management."
5,Brilliant low cost airline.,"Here is a little light in what seems to be a sea of negativity. I have lived in Asia for the past 14 years and have literally flown with AirAsia between 60-80 times. That&#39;s a quick estimate.  I fly domestic and Bangkok to Cambodia , Singapore, Japan, Hong Kong, Vietnam and go home to Australia a couple of times a year. In all those trips I have never had a flight cancelled. I have had perhaps 8-10 delayed flights nothing excruciating, and two flight schedule changes. I appreciate the tools available for flight tracking your times and email notification. Domestic flights in Asia the seating is a bit tight, I am over 6 ft tall, but really an hour or so flight I can&#39;t complain.  International or long flights , I book an exit row and sleep all night. The prices are brilliant at times and good at other times. The flight crews are really fantastic hard working people. What else, they fly Airbus and that suits me just fine. No problems with the food it is what it is and better than other low cost airlines I have flown on,  and goodness me book and pay online and it is cheaper and tastier than any airport  fast food options. I am always on the lookout for promotional fares from all airlines , but I will never hesitate and will continue to choose to fly Airasia. It&#39;s a low cost airline. If you wish to choose full service great  enjoy. For me, I am flying Bangkok to Ho Chi Minh City next week for a little over 3000 baht  , that around $100 folks. Brilliant low cost airline."
1,I would rather canoe over the Indian Ocean..,"WHEN YOU TELL SOMEONE THEY CAN GET A REFUND THAT MEANS MONEY BACK!! NOT A CREDIT. I have never been more disappointed with a company. My sister had a medical problem and the way she was treated was horrible. She still wanted to fly with you but your company is making it impossible. She booked tickets with her partner. After being in hospital her partner was unable to go on the trip as all of his leave was used whilst he was at the hospital. She asked me to go so she wasn&#8217;t on her own. You guys would not do a name change. Fine. Can we refund the tickets to rebook with my name, your team said yes. So then to save money we booked one day earlier as it was cheaper. The next day we ask for a refund on the original tickets to be told it&#8217;s actually a credit. Google the definition of a refund! So now we have two flights. Your terms are lies and I will be contacting the ACCC. I will be telling EVERYONE about the terrible service and how my poor sister was treated"
